cve,publicada,cvss,cvss_severidad,cvss_version,epss,epss_percentil,kev_fabricante,kev_producto,kev_fecha_agregada,kev_ransomware,explotada,cvss_banda,epss_alto,prioridad,riesgo_base,riesgo
CVE-2026-46796,2026-06-17,8.0,HIGH,3.1,0.00353,0.27957,,,,,False,Alta,False,4 - Seguimiento normal,0.0282,0.0282
CVE-2026-46911,2026-06-17,9.6,CRITICAL,3.1,0.00267,0.18647,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0256,0.0256
CVE-2026-46953,2026-06-17,7.2,HIGH,3.1,0.00339,0.26411,,,,,False,Alta,False,4 - Seguimiento normal,0.0244,0.0244
CVE-2026-46957,2026-06-17,7.5,HIGH,3.1,0.00311,0.23441,,,,,False,Alta,False,4 - Seguimiento normal,0.0233,0.0233
CVE-2025-69103,2026-06-17,7.5,HIGH,3.1,0.00407,0.33369,,,,,False,Alta,False,4 - Seguimiento normal,0.0305,0.0305
CVE-2025-69121,2026-06-17,8.1,HIGH,3.1,0.00435,0.35655,,,,,False,Alta,False,4 - Seguimiento normal,0.0352,0.0352
CVE-2026-22325,2026-06-17,8.1,HIGH,3.1,0.00363,0.28894,,,,,False,Alta,False,4 - Seguimiento normal,0.0294,0.0294
CVE-2026-28576,2026-06-17,10.0,CRITICAL,4.0,0.00148,0.04455,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0148,0.0148
CVE-2026-34893,2026-06-17,8.1,HIGH,3.1,0.00338,0.263,,,,,False,Alta,False,4 - Seguimiento normal,0.0274,0.0274
CVE-2026-39446,2026-06-17,8.1,HIGH,3.1,0.00308,0.23059,,,,,False,Alta,False,4 - Seguimiento normal,0.0249,0.0249
CVE-2026-45436,2026-06-17,6.5,MEDIUM,3.1,0.00304,0.2271,,,,,False,Media,False,4 - Seguimiento normal,0.0198,0.0198
CVE-2026-49107,2026-06-17,9.8,CRITICAL,3.1,0.00375,0.30136,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0367,0.0367
CVE-2026-49767,2026-06-17,9.8,CRITICAL,3.1,0.00548,0.42634,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0537,0.0537
CVE-2026-7850,2026-06-17,5.9,MEDIUM,3.1,0.0014,0.03746,,,,,False,Media,False,4 - Seguimiento normal,0.0083,0.0083
CVE-2026-40738,2026-06-17,8.1,HIGH,3.1,0.00308,0.2306,,,,,False,Alta,False,4 - Seguimiento normal,0.0249,0.0249
CVE-2026-54808,2026-06-17,9.3,CRITICAL,3.1,0.00308,0.23075,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0286,0.0286
CVE-2026-40641,2026-06-17,4.8,MEDIUM,3.1,0.001,0.01048,,,,,False,Media,False,4 - Seguimiento normal,0.0048,0.0048
CVE-2026-11525,2026-06-17,3.7,LOW,3.1,0.00238,0.1503,,,,,False,Baja,False,4 - Seguimiento normal,0.0088,0.0088
CVE-2026-12111,2026-06-18,4.3,MEDIUM,3.1,0.00277,0.19871,,,,,False,Media,False,4 - Seguimiento normal,0.0119,0.0119
CVE-2026-12137,2026-06-18,6.1,MEDIUM,3.1,0.00211,0.11495,,,,,False,Media,False,4 - Seguimiento normal,0.0129,0.0129
CVE-2026-55745,2026-06-18,5.3,MEDIUM,4.0,0.00116,0.01865,,,,,False,Media,False,4 - Seguimiento normal,0.0061,0.0061
CVE-2026-11718,2026-06-18,9.3,CRITICAL,4.0,0.00204,0.1064,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.019,0.019
CVE-2026-54224,2026-06-18,7.1,HIGH,4.0,0.00272,0.19369,,,,,False,Alta,False,4 - Seguimiento normal,0.0193,0.0193
CVE-2026-48716,2026-06-18,8.7,HIGH,3.1,0.00422,0.34608,,,,,False,Alta,False,4 - Seguimiento normal,0.0367,0.0367
CVE-2026-43994,2026-06-18,8.1,HIGH,3.1,0.0045,0.36781,,,,,False,Alta,False,4 - Seguimiento normal,0.0364,0.0364
CVE-2026-51844,2026-06-19,9.8,CRITICAL,3.1,0.00438,0.35893,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0429,0.0429
CVE-2026-49271,2026-06-19,6.5,MEDIUM,3.1,0.00199,0.10011,,,,,False,Media,False,4 - Seguimiento normal,0.0129,0.0129
CVE-2026-11911,2026-06-20,7.5,HIGH,3.1,0.01174,0.6427,,,,,False,Alta,False,4 - Seguimiento normal,0.0881,0.0881
CVE-2026-56332,2026-06-20,5.1,MEDIUM,4.0,0.00299,0.22141,,,,,False,Media,False,4 - Seguimiento normal,0.0152,0.0152
CVE-2026-56236,2026-06-21,6.8,MEDIUM,4.0,0.00183,0.082,,,,,False,Media,False,4 - Seguimiento normal,0.0124,0.0124
CVE-2026-10845,2026-06-22,7.3,HIGH,3.1,0.00466,0.37843,,,,,False,Alta,False,4 - Seguimiento normal,0.034,0.034
CVE-2026-12549,2026-06-22,4.8,MEDIUM,3.1,0.00411,0.33662,,,,,False,Media,False,4 - Seguimiento normal,0.0197,0.0197
CVE-2026-12628,2026-06-22,9.1,CRITICAL,3.1,0.00357,0.28344,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0325,0.0325
CVE-2026-9006,2026-06-22,7.4,HIGH,3.1,0.00239,0.15166,,,,,False,Alta,False,4 - Seguimiento normal,0.0177,0.0177
CVE-2026-10852,2026-06-22,5.9,MEDIUM,3.1,0.00293,0.21495,,,,,False,Media,False,4 - Seguimiento normal,0.0173,0.0173
CVE-2026-45034,2026-06-22,9.2,CRITICAL,4.0,0.00351,0.27726,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0323,0.0323
CVE-2026-48514,2026-06-22,6.3,MEDIUM,4.0,0.00231,0.14117,,,,,False,Media,False,4 - Seguimiento normal,0.0146,0.0146
CVE-2026-10651,2026-06-23,7.1,HIGH,3.1,0.0028,0.20239,,,,,False,Alta,False,4 - Seguimiento normal,0.0199,0.0199
CVE-2026-55654,2026-06-23,3.7,LOW,3.1,0.00392,0.31793,,,,,False,Baja,False,4 - Seguimiento normal,0.0145,0.0145
CVE-2026-8172,2026-06-23,7.1,HIGH,3.1,0.00159,0.05496,,,,,False,Alta,False,4 - Seguimiento normal,0.0113,0.0113
CVE-2026-11772,2026-06-23,5.1,MEDIUM,4.0,0.00378,0.30411,,,,,False,Media,False,4 - Seguimiento normal,0.0193,0.0193
CVE-2026-28496,2026-06-23,9.4,CRITICAL,4.0,0.17612,0.96829,,,,,False,Crítica,True,2 - Explotación probable,1.6555,1.6555
CVE-2026-34912,2026-06-23,4.3,MEDIUM,3.0,0.00235,0.14664,,,,,False,Media,False,4 - Seguimiento normal,0.0101,0.0101
CVE-2026-34916,2026-06-23,8.8,HIGH,3.0,0.00754,0.51288,,,,,False,Alta,False,4 - Seguimiento normal,0.0664,0.0664
CVE-2026-47378,2026-06-23,6.9,MEDIUM,4.0,0.00239,0.15177,,,,,False,Media,False,4 - Seguimiento normal,0.0165,0.0165
CVE-2026-54639,2026-06-24,8.8,HIGH,3.1,0.00132,0.03114,,,,,False,Alta,False,4 - Seguimiento normal,0.0116,0.0116
CVE-2026-52914,2026-06-24,9.8,CRITICAL,3.1,0.00513,0.40696,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0503,0.0503
CVE-2026-13163,2026-06-24,5.3,MEDIUM,4.0,0.00329,0.25344,,,,,False,Media,False,4 - Seguimiento normal,0.0174,0.0174
CVE-2026-12537,2026-06-24,10.0,CRITICAL,4.0,0.00153,0.04959,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0153,0.0153
CVE-2026-52968,2026-06-24,8.8,HIGH,3.1,0.00139,0.03659,,,,,False,Alta,False,4 - Seguimiento normal,0.0122,0.0122
CVE-2026-52970,2026-06-24,5.5,MEDIUM,3.1,0.00128,0.02834,,,,,False,Media,False,4 - Seguimiento normal,0.007,0.007
CVE-2026-53042,2026-06-24,5.5,MEDIUM,3.1,0.00121,0.02225,,,,,False,Media,False,4 - Seguimiento normal,0.0067,0.0067
CVE-2026-53081,2026-06-24,7.8,HIGH,3.1,0.00122,0.02367,,,,,False,Alta,False,4 - Seguimiento normal,0.0095,0.0095
CVE-2026-53104,2026-06-24,5.5,MEDIUM,3.1,0.00121,0.02277,,,,,False,Media,False,4 - Seguimiento normal,0.0067,0.0067
CVE-2026-45688,2026-06-24,9.1,CRITICAL,3.1,0.00289,0.2112,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0263,0.0263
CVE-2026-50551,2026-06-24,9.9,CRITICAL,3.1,0.0044,0.3607,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0436,0.0436
CVE-2026-54158,2026-06-24,9.9,CRITICAL,3.1,0.00289,0.21129,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0286,0.0286
