cve,publicada,cvss,cvss_severidad,cvss_version,epss,epss_percentil,kev_fabricante,kev_producto,kev_fecha_agregada,kev_ransomware,explotada,cvss_banda,epss_alto,prioridad,riesgo_base,riesgo
CVE-2026-23821,2026-05-12,7.2,HIGH,3.1,0.00616,0.4591,,,,,False,Alta,False,4 - Seguimiento normal,0.0444,0.0444
CVE-2026-34660,2026-05-12,9.3,CRITICAL,3.1,0.00436,0.35708,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0405,0.0405
CVE-2026-34673,2026-05-12,6.2,MEDIUM,3.1,0.00202,0.10418,,,,,False,Media,False,4 - Seguimiento normal,0.0125,0.0125
CVE-2026-34679,2026-05-12,6.2,MEDIUM,3.1,0.00193,0.09334,,,,,False,Media,False,4 - Seguimiento normal,0.012,0.012
CVE-2025-65087,2026-05-12,8.4,HIGH,4.0,0.00165,0.06115,,,,,False,Alta,False,4 - Seguimiento normal,0.0139,0.0139
CVE-2026-44306,2026-05-12,5.3,MEDIUM,3.1,0.00206,0.10902,,,,,False,Media,False,4 - Seguimiento normal,0.0109,0.0109
CVE-2026-25705,2026-05-13,8.4,HIGH,3.1,0.00369,0.29448,,,,,False,Alta,False,4 - Seguimiento normal,0.031,0.031
CVE-2026-8463,2026-05-13,5.3,MEDIUM,3.1,0.00327,0.2512,,,,,False,Media,False,4 - Seguimiento normal,0.0173,0.0173
CVE-2026-41219,2026-05-13,7.1,HIGH,4.0,0.00277,0.19856,,,,,False,Alta,False,4 - Seguimiento normal,0.0197,0.0197
CVE-2026-44294,2026-05-13,5.3,MEDIUM,3.1,0.00431,0.35311,,,,,False,Media,False,4 - Seguimiento normal,0.0228,0.0228
CVE-2026-43997,2026-05-13,10.0,CRITICAL,3.1,0.00976,0.58459,,,,,False,Crítica,False,3 - Grave pero sin explotación conocida,0.0976,0.0976
