cve,kev_fabricante,kev_producto,kev_fecha_agregada,kev_ransomware
CVE-2021-36934,Microsoft,Windows,2022-02-10,Unknown
CVE-2020-0796,Microsoft,SMBv3,2022-02-10,Known
CVE-2018-1000861,Jenkins,Jenkins Stapler Web Framework,2022-02-10,Unknown
CVE-2017-9791,Apache,Struts 1,2022-02-10,Unknown
CVE-2017-8464,Microsoft,Windows,2022-02-10,Unknown
CVE-2017-10271,Oracle,WebLogic Server,2022-02-10,Known
CVE-2017-0263,Microsoft,Win32k,2022-02-10,Unknown
CVE-2017-0262,Microsoft,Office,2022-02-10,Unknown
CVE-2017-0145,Microsoft,SMBv1,2022-02-10,Known
CVE-2017-0144,Microsoft,SMBv1,2022-02-10,Known
CVE-2016-3088,Apache,ActiveMQ,2022-02-10,Unknown
CVE-2015-2051,D-Link,DIR-645 Router,2022-02-10,Unknown
CVE-2015-1635,Microsoft,HTTP.sys,2022-02-10,Unknown
CVE-2015-1130,Apple,OS X,2022-02-10,Unknown
CVE-2014-4404,Apple,OS X,2022-02-10,Unknown
CVE-2022-21882,Microsoft,Win32k,2022-02-04,Unknown
CVE-2022-22587,Apple,iOS and macOS,2022-01-28,Unknown
CVE-2021-20038,SonicWall,SMA 100 Appliances,2022-01-28,Known
CVE-2020-5722,Grandstream,UCM6200,2022-01-28,Unknown
CVE-2020-0787,Microsoft,Windows,2022-01-28,Known
CVE-2017-5689,Intel,"Active Management Technology (AMT), Small Business Technology (SBT), and Standard Manageability",2022-01-28,Unknown
CVE-2014-1776,Microsoft,Internet Explorer,2022-01-28,Unknown
CVE-2014-6271,GNU,Bourne-Again Shell (Bash),2022-01-28,Unknown
CVE-2014-7169,GNU,Bourne-Again Shell (Bash),2022-01-28,Unknown
CVE-2006-1547,Apache,Struts 1,2022-01-21,Unknown
CVE-2012-0391,Apache,Struts 2,2022-01-21,Unknown
CVE-2018-8453,Microsoft,Win32k,2022-01-21,Known
CVE-2021-35247,SolarWinds,Serv-U,2022-01-21,Unknown
CVE-2021-32648,October CMS,October CMS,2022-01-18,Unknown
CVE-2021-25296,Nagios,Nagios XI,2022-01-18,Unknown
CVE-2021-25297,Nagios,Nagios XI,2022-01-18,Unknown
CVE-2021-25298,Nagios,Nagios XI,2022-01-18,Unknown
CVE-2021-40870,Aviatrix,Aviatrix Controller,2022-01-18,Unknown
CVE-2021-33766,Microsoft,Exchange Server,2022-01-18,Unknown
CVE-2021-21975,VMware,vRealize Operations Manager API,2022-01-18,Known
CVE-2021-21315,Npm package,System Information Library for Node.JS,2022-01-18,Unknown
CVE-2021-22991,F5,BIG-IP Traffic Management Microkernel,2022-01-18,Unknown
CVE-2020-14864,Oracle,Intelligence Enterprise Edition,2022-01-18,Unknown
CVE-2020-13671,Drupal,Drupal core,2022-01-18,Unknown
CVE-2020-11978,Apache,Airflow,2022-01-18,Unknown
CVE-2020-13927,Apache,Airflow's Experimental API,2022-01-18,Unknown
CVE-2021-22017,VMware,vCenter Server,2022-01-10,Unknown
CVE-2021-36260,Hikvision,Security cameras web server,2022-01-10,Unknown
CVE-2020-6572,Google,Chrome Media,2022-01-10,Unknown
CVE-2019-1458,Microsoft,Win32k,2022-01-10,Known
CVE-2013-3900,Microsoft,WinVerifyTrust function,2022-01-10,Unknown
CVE-2019-2725,Oracle,WebLogic Server,2022-01-10,Known
CVE-2019-9670,Synacor,Zimbra Collaboration Suite (ZCS),2022-01-10,Unknown
CVE-2018-13382,Fortinet,FortiOS and FortiProxy,2022-01-10,Known
CVE-2018-13383,Fortinet,FortiOS and FortiProxy,2022-01-10,Known
CVE-2019-1579,Palo Alto Networks,PAN-OS,2022-01-10,Known
CVE-2019-10149,Exim,Mail Transfer Agent (MTA),2022-01-10,Unknown
CVE-2015-7450,IBM,WebSphere Application Server and Server Hypervisor Edition,2022-01-10,Unknown
CVE-2017-1000486,Primetek,Primefaces Application,2022-01-10,Unknown
CVE-2019-7609,Elastic,Kibana,2022-01-10,Unknown
CVE-2021-27860,FatPipe,"WARP, IPVPN, and MPVPN software",2022-01-10,Unknown
CVE-2021-43890,Microsoft,Windows,2021-12-15,Known
CVE-2021-4102,Google,Chromium V8,2021-12-15,Unknown
CVE-2021-44515,Zoho,Desktop Central,2021-12-10,Unknown
CVE-2019-13272,Linux,Kernel,2021-12-10,Unknown
CVE-2021-35394,Realtek,Jungle Software Development Kit (SDK),2021-12-10,Unknown
CVE-2019-7238,Sonatype,Nexus Repository Manager,2021-12-10,Unknown
CVE-2019-0193,Apache,Solr,2021-12-10,Unknown
CVE-2021-44168,Fortinet,FortiOS,2021-12-10,Unknown
CVE-2017-17562,Embedthis,GoAhead,2021-12-10,Unknown
CVE-2017-12149,Red Hat,JBoss Application Server,2021-12-10,Known
CVE-2010-1871,Red Hat,JBoss Seam 2,2021-12-10,Unknown
CVE-2020-17463,Fuel CMS,Fuel CMS,2021-12-10,Unknown
CVE-2020-8816,Pi-hole,AdminLTE,2021-12-10,Unknown
CVE-2019-10758,MongoDB,mongo-express,2021-12-10,Unknown
CVE-2021-44228,Apache,Log4j2,2021-12-10,Known
CVE-2020-11261,Qualcomm,"Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables",2021-12-01,Unknown
CVE-2018-14847,MikroTik,RouterOS,2021-12-01,Unknown
CVE-2021-37415,Zoho,ManageEngine ServiceDesk Plus (SDP),2021-12-01,Unknown
CVE-2021-40438,Apache,Apache,2021-12-01,Known
CVE-2021-44077,Zoho,ManageEngine ServiceDesk Plus (SDP) / SupportCenter Plus,2021-12-01,Unknown
CVE-2021-22204,Perl,Exiftool,2021-11-17,Unknown
CVE-2021-40449,Microsoft,Windows,2021-11-17,Known
CVE-2021-42321,Microsoft,Exchange,2021-11-17,Known
CVE-2021-42292,Microsoft,Office,2021-11-17,Unknown
CVE-2021-27104,Accellion,FTA,2021-11-03,Known
CVE-2021-27102,Accellion,FTA,2021-11-03,Known
CVE-2021-27101,Accellion,FTA,2021-11-03,Known
CVE-2021-27103,Accellion,FTA,2021-11-03,Known
CVE-2021-21017,Adobe,Acrobat and Reader,2021-11-03,Unknown
CVE-2021-28550,Adobe,Acrobat and Reader,2021-11-03,Unknown
CVE-2018-4939,Adobe,ColdFusion,2021-11-03,Unknown
CVE-2018-15961,Adobe,ColdFusion,2021-11-03,Unknown
CVE-2018-4878,Adobe,Flash Player,2021-11-03,Known
CVE-2020-5735,Amcrest,Cameras and Network Video Recorder (NVR),2021-11-03,Unknown
CVE-2019-2215,Android,Android Kernel,2021-11-03,Unknown
CVE-2020-0041,Android,Android Kernel,2021-11-03,Unknown
CVE-2020-0069,MediaTek,Multiple Chipsets,2021-11-03,Unknown
CVE-2017-9805,Apache,Struts,2021-11-03,Unknown
CVE-2021-42013,Apache,HTTP Server,2021-11-03,Known
CVE-2021-41773,Apache,HTTP Server,2021-11-03,Known
CVE-2019-0211,Apache,HTTP Server,2021-11-03,Unknown
CVE-2016-4437,Apache,Shiro,2021-11-03,Unknown
CVE-2019-17558,Apache,Solr,2021-11-03,Unknown
CVE-2020-17530,Apache,Struts,2021-11-03,Unknown
CVE-2017-5638,Apache,Struts,2021-11-03,Known
CVE-2018-11776,Apache,Struts,2021-11-03,Unknown
CVE-2021-30858,Apple,"iOS, iPadOS, and macOS",2021-11-03,Unknown
CVE-2019-6223,Apple,iOS and macOS,2021-11-03,Unknown
CVE-2021-30860,Apple,Multiple Products,2021-11-03,Unknown
CVE-2020-27930,Apple,Multiple Products,2021-11-03,Unknown
CVE-2021-30807,Apple,Multiple Products,2021-11-03,Unknown
CVE-2020-27950,Apple,Multiple Products,2021-11-03,Unknown
CVE-2020-27932,Apple,Multiple Products,2021-11-03,Unknown
CVE-2020-9818,Apple,"iOS, iPadOS, and watchOS",2021-11-03,Unknown
CVE-2020-9819,Apple,"iOS, iPadOS, and watchOS",2021-11-03,Unknown
CVE-2021-30762,Apple,iOS,2021-11-03,Unknown
CVE-2021-1782,Apple,Multiple Products,2021-11-03,Unknown
CVE-2021-1870,Apple,"iOS, iPadOS, and macOS",2021-11-03,Unknown
CVE-2021-1871,Apple,"iOS, iPadOS, and macOS",2021-11-03,Unknown
CVE-2021-1879,Apple,"iOS, iPadOS, and watchOS",2021-11-03,Unknown
CVE-2021-30661,Apple,Multiple Products,2021-11-03,Unknown
CVE-2021-30666,Apple,iOS,2021-11-03,Unknown
CVE-2021-30713,Apple,macOS,2021-11-03,Unknown
CVE-2021-30657,Apple,macOS,2021-11-03,Unknown
CVE-2021-30665,Apple,Multiple Products,2021-11-03,Unknown
CVE-2021-30663,Apple,Multiple Products,2021-11-03,Unknown
CVE-2021-30761,Apple,iOS,2021-11-03,Unknown
CVE-2021-30869,Apple,"iOS, iPadOS, and macOS",2021-11-03,Unknown
CVE-2020-9859,Apple,Multiple Products,2021-11-03,Unknown
CVE-2021-20090,Arcadyan,Buffalo Firmware,2021-11-03,Unknown
CVE-2021-27562,Arm,Trusted Firmware,2021-11-03,Unknown
CVE-2021-28664,Arm,Mali Graphics Processing Unit (GPU),2021-11-03,Unknown
CVE-2021-28663,Arm,Mali Graphics Processing Unit (GPU),2021-11-03,Unknown
CVE-2019-3398,Atlassian,Confluence Server and Data Center,2021-11-03,Unknown
CVE-2021-26084,Atlassian,Confluence Server and Data Center,2021-11-03,Known
CVE-2019-11580,Atlassian,Crowd and Crowd Data Center,2021-11-03,Known
CVE-2019-3396,Atlassian,Confluence Server and Data Server,2021-11-03,Known
CVE-2021-42258,BQE,BillQuick Web Suite,2021-11-03,Known
CVE-2020-3452,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),2021-11-03,Unknown
CVE-2020-3580,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),2021-11-03,Known
CVE-2021-1497,Cisco,HyperFlex HX,2021-11-03,Unknown
CVE-2021-1498,Cisco,HyperFlex HX,2021-11-03,Unknown
CVE-2018-0171,Cisco,IOS and IOS XE,2021-11-03,Unknown
CVE-2020-3118,Cisco,IOS XR,2021-11-03,Unknown
CVE-2020-3566,Cisco,IOS XR,2021-11-03,Unknown
CVE-2020-3569,Cisco,IOS XR,2021-11-03,Unknown
CVE-2020-3161,Cisco,Cisco IP Phones,2021-11-03,Unknown
CVE-2019-1653,Cisco,Small Business RV320 and RV325 Routers,2021-11-03,Unknown
CVE-2018-0296,Cisco,Adaptive Security Appliance (ASA),2021-11-03,Unknown
CVE-2019-13608,Citrix,StoreFront Server,2021-11-03,Known
CVE-2020-8193,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance",2021-11-03,Unknown
CVE-2020-8195,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance",2021-11-03,Unknown
CVE-2020-8196,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance",2021-11-03,Unknown
CVE-2019-19781,Citrix,"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance",2021-11-03,Known
CVE-2019-11634,Citrix,Workspace Application and Receiver for Windows,2021-11-03,Known
CVE-2020-29557,D-Link,DIR-825 R1 Devices,2021-11-03,Unknown
CVE-2020-25506,D-Link,DNS-320 Device,2021-11-03,Unknown
CVE-2018-15811,DotNetNuke (DNN),DotNetNuke (DNN),2021-11-03,Unknown
CVE-2018-18325,DotNetNuke (DNN),DotNetNuke (DNN),2021-11-03,Unknown
CVE-2017-9822,DotNetNuke (DNN),DotNetNuke (DNN),2021-11-03,Known
CVE-2019-15752,Docker,Desktop Community Edition,2021-11-03,Unknown
CVE-2020-8515,DrayTek,Multiple Vigor Routers,2021-11-03,Unknown
CVE-2018-7600,Drupal,Drupal Core,2021-11-03,Known
CVE-2021-22205,GitLab,Community and Enterprise Editions,2021-11-03,Known
CVE-2018-6789,Exim,Exim,2021-11-03,Known
CVE-2020-8657,EyesOfNetwork,EyesOfNetwork,2021-11-03,Unknown
CVE-2020-8655,EyesOfNetwork,EyesOfNetwork,2021-11-03,Unknown
CVE-2020-5902,F5,BIG-IP,2021-11-03,Known
CVE-2021-22986,F5,BIG-IP and BIG-IQ Centralized Management,2021-11-03,Known
CVE-2021-35464,ForgeRock,Access Management (AM),2021-11-03,Known
CVE-2019-5591,Fortinet,FortiOS,2021-11-03,Unknown
CVE-2020-12812,Fortinet,FortiOS,2021-11-03,Known
CVE-2018-13379,Fortinet,FortiOS,2021-11-03,Known
CVE-2020-16010,Google,Chrome for Android UI,2021-11-03,Unknown
CVE-2020-15999,Google,Chrome FreeType,2021-11-03,Unknown
CVE-2021-21166,Google,Chromium,2021-11-03,Unknown
CVE-2020-16017,Google,Chrome,2021-11-03,Unknown
CVE-2021-37976,Google,Chromium,2021-11-03,Unknown
CVE-2020-16009,Google,Chromium V8,2021-11-03,Unknown
CVE-2021-30632,Google,Chromium V8,2021-11-03,Unknown
CVE-2020-16013,Google,Chromium V8,2021-11-03,Unknown
CVE-2021-30633,Google,Chromium Indexed DB API,2021-11-03,Unknown
CVE-2021-21148,Google,Chromium V8,2021-11-03,Unknown
CVE-2021-37973,Google,Chromium Portals,2021-11-03,Unknown
CVE-2021-30551,Google,Chromium V8,2021-11-03,Unknown
CVE-2021-37975,Google,Chromium V8,2021-11-03,Unknown
CVE-2020-6418,Google,Chromium V8,2021-11-03,Unknown
CVE-2021-30554,Google,Chromium WebGL,2021-11-03,Unknown
CVE-2021-21206,Google,Chromium Blink,2021-11-03,Unknown
CVE-2021-38000,Google,Chromium Intents,2021-11-03,Unknown
CVE-2021-38003,Google,Chromium V8,2021-11-03,Unknown
CVE-2021-21224,Google,Chromium V8,2021-11-03,Unknown
CVE-2021-21193,Google,Chromium Blink,2021-11-03,Unknown
CVE-2021-21220,Google,Chromium V8,2021-11-03,Unknown
CVE-2021-30563,Google,Chromium V8,2021-11-03,Unknown
CVE-2020-4430,IBM,Data Risk Manager,2021-11-03,Unknown
CVE-2020-4427,IBM,Data Risk Manager,2021-11-03,Unknown
CVE-2020-4428,IBM,Data Risk Manager,2021-11-03,Unknown
CVE-2019-4716,IBM,Planning Analytics,2021-11-03,Unknown
CVE-2016-3715,ImageMagick,ImageMagick,2021-11-03,Unknown
CVE-2016-3718,ImageMagick,ImageMagick,2021-11-03,Unknown
CVE-2020-15505,Ivanti,MobileIron Multiple Products,2021-11-03,Unknown
CVE-2021-30116,Kaseya,Virtual System/Server Administrator (VSA),2021-11-03,Known
CVE-2020-7961,Liferay,Liferay Portal,2021-11-03,Unknown
CVE-2021-23874,McAfee,McAfee Total Protection (MTP),2021-11-03,Unknown
CVE-2021-22506,Micro Focus,Micro Focus Access Manager,2021-11-03,Unknown
CVE-2021-22502,Micro Focus,Operation Bridge Reporter (OBR),2021-11-03,Unknown
CVE-2014-1812,Microsoft,Windows,2021-11-03,Known
CVE-2021-38647,Microsoft,Open Management Infrastructure (OMI),2021-11-03,Known
CVE-2016-0167,Microsoft,Win32k,2021-11-03,Known
CVE-2020-0878,Microsoft,Edge and Internet Explorer,2021-11-03,Known
CVE-2021-31955,Microsoft,Windows,2021-11-03,Unknown
CVE-2021-1647,Microsoft,Defender,2021-11-03,Unknown
CVE-2021-33739,Microsoft,Windows,2021-11-03,Unknown
CVE-2016-0185,Microsoft,Windows,2021-11-03,Unknown
CVE-2020-0683,Microsoft,Windows,2021-11-03,Unknown
CVE-2020-17087,Microsoft,Windows,2021-11-03,Unknown
CVE-2021-33742,Microsoft,Windows,2021-11-03,Unknown
CVE-2021-31199,Microsoft,Enhanced Cryptographic Provider,2021-11-03,Unknown
CVE-2021-33771,Microsoft,Windows,2021-11-03,Unknown
CVE-2021-31956,Microsoft,Windows,2021-11-03,Unknown
CVE-2021-31201,Microsoft,Enhanced Cryptographic Provider,2021-11-03,Unknown
CVE-2021-31979,Microsoft,Windows,2021-11-03,Unknown
CVE-2020-0938,Microsoft,Windows,2021-11-03,Unknown
CVE-2020-17144,Microsoft,Exchange Server,2021-11-03,Unknown
CVE-2020-0986,Microsoft,Windows,2021-11-03,Unknown
CVE-2020-1020,Microsoft,Windows,2021-11-03,Unknown
CVE-2021-38645,Microsoft,Open Management Infrastructure (OMI),2021-11-03,Unknown
CVE-2021-34523,Microsoft,Exchange Server,2021-11-03,Known
CVE-2017-7269,Microsoft,Internet Information Services (IIS),2021-11-03,Unknown
CVE-2021-36948,Microsoft,Windows,2021-11-03,Unknown
CVE-2021-38649,Microsoft,Open Management Infrastructure (OMI),2021-11-03,Unknown
CVE-2020-0688,Microsoft,Exchange Server,2021-11-03,Known
CVE-2017-0143,Microsoft,Windows,2021-11-03,Known
CVE-2016-7255,Microsoft,Win32k,2021-11-03,Unknown
CVE-2019-0708,Microsoft,Remote Desktop Services,2021-11-03,Known
CVE-2021-34473,Microsoft,Exchange Server,2021-11-03,Known
CVE-2020-1464,Microsoft,Windows,2021-11-03,Unknown
CVE-2021-1732,Microsoft,Win32k,2021-11-03,Known
CVE-2021-34527,Microsoft,Windows,2021-11-03,Known
CVE-2021-31207,Microsoft,Exchange Server,2021-11-03,Known
CVE-2019-0803,Microsoft,Win32k,2021-11-03,Unknown
CVE-2020-1040,Microsoft,Hyper-V RemoteFX,2021-11-03,Unknown
CVE-2021-28310,Microsoft,Win32k,2021-11-03,Unknown
CVE-2020-1350,Microsoft,Windows,2021-11-03,Unknown
CVE-2021-26411,Microsoft,Internet Explorer,2021-11-03,Known
CVE-2019-0859,Microsoft,Win32k,2021-11-03,Unknown
CVE-2021-40444,Microsoft,MSHTML,2021-11-03,Known
CVE-2017-8759,Microsoft,.NET Framework,2021-11-03,Unknown
CVE-2018-8653,Microsoft,Internet Explorer,2021-11-03,Unknown
CVE-2019-0797,Microsoft,Win32k,2021-11-03,Unknown
CVE-2021-36942,Microsoft,Windows,2021-11-03,Known
CVE-2019-1215,Microsoft,Windows,2021-11-03,Known
CVE-2018-0798,Microsoft,Office,2021-11-03,Unknown
CVE-2018-0802,Microsoft,Office,2021-11-03,Unknown
CVE-2012-0158,Microsoft,MSCOMCTL.OCX,2021-11-03,Unknown
CVE-2015-1641,Microsoft,Office,2021-11-03,Unknown
CVE-2021-27085,Microsoft,Internet Explorer,2021-11-03,Unknown
CVE-2019-0541,Microsoft,MSHTML,2021-11-03,Unknown
CVE-2017-11882,Microsoft,Office,2021-11-03,Known
CVE-2020-0674,Microsoft,Internet Explorer,2021-11-03,Unknown
CVE-2021-27059,Microsoft,Office,2021-11-03,Unknown
CVE-2019-1367,Microsoft,Internet Explorer,2021-11-03,Known
CVE-2017-0199,Microsoft,Office and WordPad,2021-11-03,Known
CVE-2020-1380,Microsoft,Internet Explorer,2021-11-03,Unknown
CVE-2019-1429,Microsoft,Internet Explorer,2021-11-03,Unknown
CVE-2017-11774,Microsoft,Office,2021-11-03,Unknown
CVE-2020-0968,Microsoft,Internet Explorer,2021-11-03,Unknown
CVE-2020-1472,Microsoft,Netlogon,2021-11-03,Known
CVE-2021-26855,Microsoft,Exchange Server,2021-11-03,Known
CVE-2021-26858,Microsoft,Exchange Server,2021-11-03,Known
CVE-2021-27065,Microsoft,Exchange Server,2021-11-03,Known
CVE-2020-1054,Microsoft,Win32k,2021-11-03,Unknown
CVE-2021-1675,Microsoft,Windows,2021-11-03,Known
CVE-2021-34448,Microsoft,Windows,2021-11-03,Unknown
CVE-2020-0601,Microsoft,Windows,2021-11-03,Unknown
CVE-2019-0604,Microsoft,SharePoint,2021-11-03,Known
CVE-2020-0646,Microsoft,.NET Framework,2021-11-03,Unknown
CVE-2019-0808,Microsoft,Win32k,2021-11-03,Unknown
CVE-2021-26857,Microsoft,Exchange Server,2021-11-03,Known
CVE-2020-1147,Microsoft,".NET Framework, SharePoint, Visual Studio",2021-11-03,Unknown
CVE-2019-1214,Microsoft,Windows,2021-11-03,Unknown
CVE-2016-3235,Microsoft,Office,2021-11-03,Unknown
CVE-2019-0863,Microsoft,Windows,2021-11-03,Unknown
CVE-2021-36955,Microsoft,Windows,2021-11-03,Known
CVE-2021-38648,Microsoft,Open Management Infrastructure (OMI),2021-11-03,Unknown
CVE-2020-6819,Mozilla,Firefox and Thunderbird,2021-11-03,Unknown
CVE-2020-6820,Mozilla,Firefox and Thunderbird,2021-11-03,Unknown
CVE-2019-17026,Mozilla,Firefox and Thunderbird,2021-11-03,Unknown
CVE-2019-15949,Nagios,Nagios XI,2021-11-03,Unknown
CVE-2020-26919,NETGEAR,JGS516PE Devices,2021-11-03,Unknown
CVE-2019-19356,Netis,WF2419 Devices,2021-11-03,Unknown
CVE-2020-2555,Oracle,Multiple Products,2021-11-03,Unknown
CVE-2012-3152,Oracle,Fusion Middleware,2021-11-03,Unknown
CVE-2020-14871,Oracle,Solaris and Zettabyte File System (ZFS),2021-11-03,Unknown
CVE-2015-4852,Oracle,WebLogic Server,2021-11-03,Unknown
CVE-2020-14750,Oracle,WebLogic Server,2021-11-03,Unknown
CVE-2020-14882,Oracle,WebLogic Server,2021-11-03,Unknown
CVE-2020-14883,Oracle,WebLogic Server,2021-11-03,Unknown
CVE-2020-8644,PlaySMS,PlaySMS,2021-11-03,Unknown
CVE-2019-18935,Progress,Telerik UI for ASP.NET AJAX,2021-11-03,Known
CVE-2021-22893,Ivanti,Pulse Connect Secure,2021-11-03,Known
CVE-2020-8243,Ivanti,Pulse Connect Secure,2021-11-03,Unknown
CVE-2021-22900,Ivanti,Pulse Connect Secure,2021-11-03,Unknown
CVE-2021-22894,Ivanti,Pulse Connect Secure,2021-11-03,Unknown
CVE-2020-8260,Ivanti,Pulse Connect Secure,2021-11-03,Unknown
CVE-2021-22899,Ivanti,Pulse Connect Secure,2021-11-03,Unknown
CVE-2019-11510,Ivanti,Pulse Connect Secure,2021-11-03,Known
CVE-2019-11539,Ivanti,Pulse Connect Secure and Pulse Policy Secure,2021-11-03,Known
CVE-2021-1906,Qualcomm,Multiple Chipsets,2021-11-03,Unknown
CVE-2021-1905,Qualcomm,Multiple Chipsets,2021-11-03,Unknown
CVE-2020-10221,rConfig,rConfig,2021-11-03,Unknown
CVE-2021-35395,Realtek,AP-Router SDK,2021-11-03,Unknown
CVE-2017-16651,Roundcube,Roundcube Webmail,2021-11-03,Unknown
CVE-2020-11652,SaltStack,Salt,2021-11-03,Unknown
CVE-2020-11651,SaltStack,Salt,2021-11-03,Unknown
CVE-2020-16846,SaltStack,Salt,2021-11-03,Unknown
CVE-2018-2380,SAP,Customer Relationship Management (CRM),2021-11-03,Known
CVE-2010-5326,SAP,NetWeaver,2021-11-03,Unknown
CVE-2016-9563,SAP,NetWeaver,2021-11-03,Unknown
CVE-2020-6287,SAP,NetWeaver,2021-11-03,Unknown
CVE-2020-6207,SAP,Solution Manager,2021-11-03,Unknown
CVE-2016-3976,SAP,NetWeaver,2021-11-03,Unknown
CVE-2019-16256,SIMalliance,Toolbox Browser,2021-11-03,Unknown
CVE-2020-10148,SolarWinds,Orion,2021-11-03,Unknown
CVE-2021-35211,SolarWinds,Serv-U,2021-11-03,Known
CVE-2016-3643,SolarWinds,Virtualization Manager,2021-11-03,Unknown
CVE-2020-10199,Sonatype,Nexus Repository,2021-11-03,Unknown
CVE-2021-20021,SonicWall,SonicWall Email Security,2021-11-03,Known
CVE-2019-7481,SonicWall,SMA100,2021-11-03,Known
CVE-2021-20022,SonicWall,SonicWall Email Security,2021-11-03,Known
CVE-2021-20023,SonicWall,SonicWall Email Security,2021-11-03,Known
CVE-2021-20016,SonicWall,SSLVPN SMA100,2021-11-03,Known
CVE-2020-12271,Sophos,SFOS,2021-11-03,Known
CVE-2020-10181,Sumavision,Enhanced Multimedia Router (EMR),2021-11-03,Unknown
CVE-2017-6327,Symantec,Symantec Messaging Gateway,2021-11-03,Unknown
CVE-2019-18988,TeamViewer,Desktop,2021-11-03,Unknown
CVE-2017-9248,Progress,ASP.NET AJAX and Sitefinity,2021-11-03,Unknown
CVE-2021-31755,Tenda,AC11 Router,2021-11-03,Unknown
CVE-2020-10987,Tenda,AC1900 Router AC15 Model,2021-11-03,Unknown
CVE-2018-14558,Tenda,"AC7, AC9, and AC10 Routers",2021-11-03,Unknown
CVE-2018-20062,ThinkPHP,noneCms,2021-11-03,Unknown
CVE-2019-9082,ThinkPHP,ThinkPHP,2021-11-03,Unknown
CVE-2019-18187,Trend Micro,OfficeScan,2021-11-03,Unknown
CVE-2020-8467,Trend Micro,Apex One and OfficeScan,2021-11-03,Unknown
CVE-2020-8468,Trend Micro,"Apex One, OfficeScan and Worry-Free Business Security Agents",2021-11-03,Unknown
CVE-2020-24557,Trend Micro,"Apex One, OfficeScan, and Worry-Free Business Security",2021-11-03,Unknown
CVE-2020-8599,Trend Micro,Apex One and OfficeScan,2021-11-03,Unknown
CVE-2021-36742,Trend Micro,"Apex One, Apex One as a Service, and Worry-Free Business Security",2021-11-03,Unknown
CVE-2021-36741,Trend Micro,"Apex One, Apex One as a Service, and Worry-Free Business Security",2021-11-03,Unknown
CVE-2019-20085,TVT,NVMS-1000,2021-11-03,Unknown
CVE-2020-5849,Unraid,Unraid,2021-11-03,Unknown
CVE-2020-5847,Unraid,Unraid,2021-11-03,Unknown
CVE-2019-16759,vBulletin,vBulletin,2021-11-03,Unknown
CVE-2020-17496,vBulletin,vBulletin,2021-11-03,Unknown
CVE-2019-5544,VMware,VMware ESXi and Horizon DaaS,2021-11-03,Known
CVE-2020-3992,VMware,ESXi,2021-11-03,Known
CVE-2020-3950,VMware,Multiple Products,2021-11-03,Unknown
CVE-2021-22005,VMware,vCenter Server,2021-11-03,Known
CVE-2020-3952,VMware,vCenter Server,2021-11-03,Unknown
CVE-2021-21972,VMware,vCenter Server,2021-11-03,Known
CVE-2021-21985,VMware,vCenter Server,2021-11-03,Known
CVE-2020-4006,VMware,Multiple Products,2021-11-03,Unknown
CVE-2020-25213,WordPress,File Manager Plugin,2021-11-03,Unknown
CVE-2020-11738,WordPress,Snap Creek Duplicator Plugin,2021-11-03,Unknown
CVE-2019-9978,WordPress,Social Warfare Plugin,2021-11-03,Unknown
CVE-2021-27561,Yealink,Device Management,2021-11-03,Unknown
CVE-2021-40539,Zoho,ManageEngine,2021-11-03,Known
CVE-2020-10189,Zoho,ManageEngine,2021-11-03,Unknown
CVE-2019-8394,Zoho,ManageEngine,2021-11-03,Unknown
CVE-2020-29583,Zyxel,Multiple Products,2021-11-03,Unknown
